Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[5, 10, 12, 3, 1, 7, 9]	[[99.27727589915, 254.19019630084998], [2.8808079560800004, 4.2278141939200005], [71.0, 209.0], [3.0, 57.0], [455.54625, 767.25375], [1.4818899999999997, 3.5781099999999997], [3.5263, 6.1237]]	[27.262369175169997, 90.56012158483]	0.9999986036620582	1.0	1	511.2750381431836	48488	0	0.5384615384615384	511.2750381431836	35	35	2	2	1	1.00000000000145	1.2693333333333334	0.9999986036620582	0.9999986036620582	0.9999972073260661	1
[3, 5]	add(add(X3, -6), cos(X5))	None	0.7709189566264298	0.5762562618866751	2	508.82699863172064	49997	49	13.0	1029.334370724127	27039	49951	1195	1500	1	0.3687557491699025	445.0	0.7709189566264298	0.7709189566264298	0.5943160376859832	1
[5]	[[-49.724426777000005, 161.38180692855]]	[-31.158311021964998, 50.462474979965]	0.9890314355250125	0.8709001306373624	2	484.97149281453505	49997	387	0.07692307692307693	969.9429856290701	14453	15346	437	464	1	0.9801648950928201	301.8213333333333	0.9890314355250125	0.9890314355250125	0.978183180456667	1
[5]	[[-49.724426777000005, 210.6032391331]]	[-36.40566120366999, 66.86961904367]	0.9859409180636147	0.8471131083517098	2	485.9605685397498	49997	457	0.07692307692307693	971.9211370794995	19125	20247	579	613	1	0.9672157569365617	342.382	0.9859409180636147	0.9859409180636147	0.9720794939121234	1
[5]	[[228.7368509755, 544.03069681135]]	[88.062667272465, 173.014913927535]	0.9081790497116232	0.7662909056391101	3	530.5015693109141	49989	645	0.07692307692307693	1645.6011061449096	23821	27376	724	832	1	0.8907537795851249	322.42133333333334	0.9081790497116232	0.9081790497116232	0.824789186335107	1
[5]	[[269.66186273425, 540.4210815333]]	[84.98453868647499, 188.165376819805]	0.9895350171903033	0.8828146767049001	2	524.8164021270503	49989	985	0.07692307692307693	1079.3012566470322	23104	23104	707	707	1	0.9704817518593817	353.97133333333335	0.9895350171903033	0.9895350171903033	0.9791795502458139	1
[5, 10]	[[250.32510564039998, 530.1678005596], [0.7031695691600002, 3.39718204484]]	[88.062667272465, 189.215577593235]	0.9510198860929034	0.83024202761952	2	561.3292421532815	49989	1507	0.15384615384615385	1122.658484306563	13129	13935	406	431	1	0.9454717895519855	197.97066666666666	0.9510198860929034	0.9510198860929034	0.9044388237441591	1
[5]	[[-49.724426777000005, 166.01390431714998]]	[-39.608660513525, 68.66381071352501]	0.9929736054483543	0.9094272547135067	1	484.9714928145421	49997	2720	0.07692307692307693	484.9714928145421	15007	15007	476	476	1	0.9850181329283502	286.8693333333333	0.9929736054483543	0.9929736054483543	0.9859965811171041	1
[5]	[[334.34820590879997, 494.2583172912]]	[88.062667272465, 195.568783466665]	0.9857704848873317	0.9047476810457443	2	502.70200169626196	49965	3577	0.07692307692307693	1010.1937553008187	15011	15011	485	485	1	0.9798432656200057	250.90666666666667	0.9857704848873317	0.9857704848873317	0.971743448875005	1
[5]	[[-49.724426777000005, 246.8729271491]]	[-39.608660513525, 66.86961904367]	0.9017582726516185	0.721309359568267	2	494.2593718762914	49997	3673	0.07692307692307693	988.5187437525828	17881	22234	579	720	1	0.8895156352932497	301.08	0.9017582726516185	0.9017582726516185	0.8131679822956307	1
[5]	[[-49.724426777000005, 161.38180692855]]	[-42.263290603525, 50.462474979965]	0.98900648388557	0.8707921866238914	2	484.97149281453505	49997	3898	0.07692307692307693	969.9429856290701	13439	14269	437	464	1	0.980139865799071	301.8213333333333	0.98900648388557	0.98900648388557	0.9781338251676982	1
